mmsi,year,flag_ais,flag_registry,flag_gfw,vessel_class_inferred,vessel_class_inferred_score,vessel_class_registry,vessel_class_gfw,self_reported_fishing_vessel,length_m_inferred,length_m_registry,length_m_gfw,engine_power_kw_inferred,engine_power_kw_registry,engine_power_kw_gfw,tonnage_gt_inferred,tonnage_gt_registry,tonnage_gt_gfw,registries_listed,active_hours,fishing_hours,vessel_class_mapped
100001090,2023,,,UNKNOWN-CHN,trawlers,0.989,,trawlers,True,20.647,,20.647,285.893,,285.893,102.487,,102.487,,2221.8360000000007,1140.6188999999997,trawler
100001974,2023,,,UNKNOWN-BRA,trawlers,1.0,,trawlers,True,21.352,,21.352,236.894,,236.894,77.591,,77.591,,1569.3379999999995,783.0752000000001,trawler
100003200,2023,,,UNKNOWN-TWN,other_purse_seines,0.967,,other_purse_seines,True,15.964,,15.964,204.52,,204.52,22.958,,22.958,,1126.3633000000002,149.24339999999998,purse_seiner
100003333,2023,,,UNKNOWN-CHN,set_gillnets,0.57,,set_gillnets,True,17.735,,17.735,237.476,,237.476,57.538,,57.538,,1353.7608999999989,666.4254,longliner
100005212,2023,,,UNKNOWN-CHN,trawlers,0.995,,trawlers,True,16.383,,16.383,204.654,,204.654,38.338,,38.338,,921.2729000000005,537.7852,trawler
100005339,2023,,,UNKNOWN-TWN,dredge_fishing,0.856,,dredge_fishing,True,12.191,,12.191,83.99,,83.99,16.781,,16.781,,4273.922700000003,1172.1255,other
100005678,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,False,21.521,,21.521,332.544,,332.544,84.156,,84.156,,425.7268000000001,195.7053,trawler
100006678,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,24.692,,24.692,314.132,,314.132,122.037,,122.037,,752.9004000000001,551.3268999999999,trawler
100007791,2023,,,UNKNOWN-PER,other_purse_seines,0.959,,other_purse_seines,True,43.72,,43.72,1006.061,,1006.061,467.496,,467.496,,2786.9236,408.3252,purse_seiner
100008828,2023,,,UNKNOWN-CHN,trawlers,0.878,,trawlers,True,19.34,,19.34,153.88,,153.88,50.052,,50.052,,2487.427,1728.3260000000007,trawler
100009988,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,25.503,,25.503,308.782,,308.782,121.581,,121.581,,397.66910000000007,285.88980000000004,trawler
100010035,2023,,,UNKNOWN-TWN,trawlers,0.592,,trawlers,True,18.351,,18.351,179.077,,179.077,47.586,,47.586,,388.3618000000001,201.111,trawler
100010047,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,False,25.064,,25.064,496.29,,496.29,121.567,,121.567,,1233.6174000000008,405.7459,trawler
100010090,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,16.41,,16.41,211.056,,211.056,40.206,,40.206,,872.8347000000003,533.8005,trawler
100010110,2023,,,UNKNOWN-CHN,trawlers,0.767,,trawlers,True,19.438,,19.438,352.811,,352.811,70.577,,70.577,,2924.9501000000005,2225.7979,trawler
100011287,2023,,,UNKNOWN-CHN,fixed_gear,0.591,,fixed_gear,True,18.728,,18.728,229.593,,229.593,40.485,,40.485,,1686.8073000000002,951.2519999999997,longliner
100012401,2023,,,UNKNOWN-CHN,fishing,0.519,,fishing,True,47.181,,47.181,821.754,,821.754,522.838,,522.838,,932.7594,78.66699999999999,trawler
10001441,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,18.494,,18.494,203.539,,203.539,43.346,,43.346,,1288.7906,876.9982999999999,trawler
100016886,2023,,,UNKNOWN-CHN,other_purse_seines,1.0,,other_purse_seines,True,24.038,,24.038,170.69,,170.69,38.357,,38.357,,641.0133000000001,117.7672,purse_seiner
100017433,2023,,,UNKNOWN-CHN,set_gillnets,0.589,,set_gillnets,True,18.029,,18.029,191.161,,191.161,26.119,,26.119,,664.0294000000001,61.9398,longliner
100020232,2023,,,UNKNOWN-CHN,trawlers,0.8,,trawlers,True,21.189,,21.189,307.024,,307.024,89.855,,89.855,,655.7673000000001,469.3442,trawler
100022356,2023,,,UNKNOWN-CHN,set_longlines,0.573,,set_longlines,True,15.282,,15.282,183.782,,183.782,25.434,,25.434,,728.6432000000002,369.7327,longliner
100027572,2023,,,UNKNOWN-TWN,trawlers,0.975,,trawlers,False,26.565,,26.565,211.081,,211.081,52.961,,52.961,,554.6678,127.17690000000002,trawler
100032165,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,17.291,,17.291,191.439,,191.439,36.787,,36.787,,1768.5236000000002,770.9744999999998,trawler
100038354,2023,,,UNKNOWN-TWN,drifting_longlines,0.987,,drifting_longlines,False,20.652,,20.652,256.521,,256.521,44.174,,44.174,,644.4977999999999,390.9127,longliner
100040506,2023,,,UNKNOWN-CHN,set_gillnets,0.596,,set_gillnets,True,22.157,,22.157,333.385,,333.385,111.644,,111.644,,2328.1216999999992,700.3146999999997,longliner
100044559,2023,,,UNKNOWN-CHN,fishing,0.754,,fishing,True,27.943,,27.943,394.534,,394.534,151.852,,151.852,,1603.9702,1029.1414,trawler
100045056,2023,,,UNKNOWN-CHN,set_gillnets,0.659,,set_gillnets,True,14.899,,14.899,251.807,,251.807,21.707,,21.707,,647.3779000000001,71.42649999999999,longliner
100045221,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,17.148,,17.148,208.672,,208.672,61.493,,61.493,,900.2067000000003,456.3893000000001,trawler
100047262,2023,,,UNKNOWN-TWN,drifting_longlines,0.905,,drifting_longlines,False,20.613,,20.613,273.411,,273.411,52.793,,52.793,,669.5441999999999,251.2509,longliner
100047263,2023,,,UNKNOWN-TWN,set_longlines,0.597,,set_longlines,False,18.745,,18.745,204.695,,204.695,38.363,,38.363,,706.7921,156.81240000000005,longliner
100047264,2023,,,UNKNOWN-TWN,drifting_longlines,0.585,,drifting_longlines,False,22.89,,22.89,300.076,,300.076,58.309,,58.309,,798.4671999999998,259.4347,longliner
100047265,2023,,,UNKNOWN-TWN,drifting_longlines,0.722,,drifting_longlines,False,24.793,,24.793,299.565,,299.565,63.239,,63.239,,701.4106999999998,205.8934,longliner
100049962,2023,,,UNKNOWN-CHN,set_gillnets,0.681,,set_gillnets,True,13.356,,13.356,119.396,,119.396,15.827,,15.827,,2149.109999999999,813.9392,longliner
100055155,2023,,,UNKNOWN-CHN,pole_and_line,1.0,,pole_and_line,True,22.486,,22.486,578.534,,578.534,47.101,,47.101,,823.1582999999998,74.1019,other
100060012,2023,,,UNKNOWN-CHN,pole_and_line,0.59,,pole_and_line,True,11.286,,11.286,364.015,,364.015,9.775,,9.775,,1007.2240000000002,92.9634,other
100066168,2023,,,UNKNOWN-CHN,pots_and_traps,0.521,,pots_and_traps,True,11.651,,11.651,108.818,,108.818,11.824,,11.824,,1185.8348,330.72700000000003,other
100067987,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,28.278,,28.278,376.211,,376.211,200.594,,200.594,,942.4562999999997,604.7073,trawler
100070831,2023,,,UNKNOWN-CHN,set_longlines,0.843,,set_longlines,True,17.045,,17.045,300.084,,300.084,26.928,,26.928,,413.991,166.26119999999997,longliner
1000839693,2023,,,UNKNOWN-KOR,trawlers,1.0,,trawlers,False,38.606,,38.606,502.973,,502.973,333.286,,333.286,,2948.352300000001,2070.1706000000004,trawler
1000839695,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,False,34.758,,34.758,1316.738,,1316.738,184.765,,184.765,,519.3822,157.2996,trawler
100099889,2023,,,UNKNOWN-CHN,fishing,0.655,,fishing,True,20.468,,20.468,297.954,,297.954,39.302,,39.302,,409.3149000000001,160.23950000000002,trawler
100106397,2023,,,UNKNOWN-CHN,trawlers,0.958,,trawlers,True,27.518,,27.518,400.688,,400.688,147.036,,147.036,,3428.9545000000016,2810.5876000000007,trawler
100121212,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,False,27.202,,27.202,438.883,,438.883,83.345,,83.345,,476.1922,284.77440000000007,trawler
100215345,2023,,,UNKNOWN-TWN,set_longlines,0.523,,set_longlines,True,25.465,,25.465,305.328,,305.328,104.23,,104.23,,838.2018000000002,528.3570000000001,longliner
10024047,2023,,,UNKNOWN-LKA,drifting_longlines,0.689,,drifting_longlines,True,22.016,,22.016,333.335,,333.335,77.895,,77.895,,1101.3781000000004,736.8946999999998,longliner
100289360,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,26.113,,26.113,345.287,,345.287,131.499,,131.499,,466.2138000000001,242.86760000000007,trawler
100306366,2023,,,UNKNOWN-CHN,trawlers,0.929,,trawlers,True,26.318,,26.318,351.229,,351.229,112.278,,112.278,,4228.177500000001,3794.257599999999,trawler
100306498,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,22.994,,22.994,311.441,,311.441,102.326,,102.326,,4039.1965999999993,3592.957000000001,trawler
100306952,2023,,,UNKNOWN-CHN,trawlers,0.855,,trawlers,True,23.862,,23.862,268.221,,268.221,78.551,,78.551,,1136.3927,702.2632000000001,trawler
100320466,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,20.028,,20.028,317.027,,317.027,152.27,,152.27,,255.4468,158.7548,trawler
10036034,2023,,,UNKNOWN-LKA,drifting_longlines,0.863,,drifting_longlines,True,20.005,,20.005,291.316,,291.316,48.086,,48.086,,2811.3833999999997,1562.7583999999997,longliner
100412412,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,False,17.008,,17.008,122.726,,122.726,29.639,,29.639,,213.3979,140.00959999999998,trawler
100416020,2023,,,UNKNOWN-CHN,fishing,1.0,,fishing,False,18.503,,18.503,206.3,,206.3,40.14,,40.14,,1316.0508,612.5107,trawler
10047034,2023,,LKA,LKA,fishing,0.56,drifting_longlines|set_gillnets|driftnets,fishing,True,22.334,12.3,12.3,329.384,,329.384,81.885,16.1,16.1,IOTC,1384.0717000000004,1017.3586,trawler
100504148,2023,,,UNKNOWN-CHN,fishing,0.769,,fishing,True,27.014,,27.014,386.205,,386.205,190.715,,190.715,,2983.511500000001,1974.0922000000005,trawler
100524513,2023,,,UNKNOWN-TWN,set_longlines,0.972,,set_longlines,False,18.841,,18.841,301.527,,301.527,27.25,,27.25,,664.5049000000002,288.9227000000001,longliner
100560445,2023,,,UNKNOWN-VNM,set_gillnets,0.954,,set_gillnets,True,18.536,,18.536,240.025,,240.025,54.277,,54.277,,1104.7331,513.1605000000001,longliner
100561509,2023,,,UNKNOWN-CHN,set_gillnets,0.598,,set_gillnets,True,20.618,,20.618,269.488,,269.488,92.169,,92.169,,1340.545999999999,78.6289,longliner
100562434,2023,,,UNKNOWN-VNM,set_gillnets,0.576,,set_gillnets,True,20.67,,20.67,234.363,,234.363,91.086,,91.086,,1218.1863999999996,229.2046,longliner
100562456,2023,,,UNKNOWN-VNM,set_gillnets,0.764,,set_gillnets,True,19.494,,19.494,220.277,,220.277,70.281,,70.281,,1181.5616999999995,385.2592,longliner
100564891,2023,,,UNKNOWN-VNM,set_gillnets,0.736,,set_gillnets,True,19.204,,19.204,274.285,,274.285,64.785,,64.785,,933.4343,121.7041,longliner
100567546,2023,,,UNKNOWN-VNM,set_gillnets,0.875,,set_gillnets,True,16.869,,16.869,207.607,,207.607,39.915,,39.915,,1295.4821,285.8355,longliner
100569999,2023,,,UNKNOWN-VNM,set_gillnets,1.0,,set_gillnets,True,17.783,,17.783,233.064,,233.064,53.334,,53.334,,539.9968000000001,124.3288,longliner
100574124,2023,,,UNKNOWN-CHN,set_gillnets,0.998,,set_gillnets,True,12.414,,12.414,119.686,,119.686,16.847,,16.847,,765.4824000000002,65.7371,longliner
100587985,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,23.377,,23.377,439.507,,439.507,87.595,,87.595,,1620.2679000000007,1125.5067999999997,trawler
100600888,2023,,,UNKNOWN-CHN,fishing,0.875,,fishing,True,14.61,,14.61,174.249,,174.249,21.252,,21.252,,2446.747499999999,467.21989999999965,trawler
100617101,2023,,,UNKNOWN-TWN,set_gillnets,0.965,,set_gillnets,False,15.906,,15.906,142.573,,142.573,19.804,,19.804,,1631.7921,776.8992000000003,longliner
100644525,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,19.075,,19.075,387.547,,387.547,83.405,,83.405,,1939.6114,1763.3490000000004,trawler
10065,2023,,,UNKNOWN-CHN,set_gillnets,0.999,,set_gillnets,True,19.632,,19.632,219.038,,219.038,18.98,,18.98,,483.4211,131.5021,longliner
100663275,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,False,17.957,,17.957,216.448,,216.448,158.469,,158.469,,160.17649999999998,51.6419,trawler
100664640,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,False,31.297,,31.297,1520.65,,1520.65,561.277,,561.277,,2203.6098999999995,1617.8417,trawler
100667059,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,18.99,,18.99,262.336,,262.336,55.353,,55.353,,1186.8658000000005,748.7012000000002,trawler
100678730,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,False,29.223,,29.223,457.638,,457.638,215.612,,215.612,,1357.6529999999998,1116.1746,trawler
100679801,2023,,,UNKNOWN-CHN,fishing,0.998,,fishing,True,26.344,,26.344,407.531,,407.531,99.085,,99.085,,2129.7282,1859.6072,trawler
10068,2023,,,UNKNOWN-CHN,drifting_longlines,0.999,,set_longlines,False,20.811,,20.811,455.665,,455.665,161.986,,161.986,,730.7714999999998,245.6398,longliner
100700001,2023,,,UNKNOWN-CHN,trawlers,0.935,,trawlers,True,25.906,,25.906,442.868,,442.868,89.139,,89.139,,756.9899,508.4611,trawler
100700002,2023,,,UNKNOWN-CHN,trawlers,0.923,,trawlers,True,26.908,,26.908,151.564,,151.564,106.633,,106.633,,1249.9137,631.2696,trawler
100700010,2023,,,UNKNOWN-CHN,trawlers,0.761,,trawlers,True,19.177,,19.177,235.019,,235.019,40.611,,40.611,,1017.3150000000004,608.4698000000001,trawler
100700022,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,18.748,,18.748,134.964,,134.964,32.073,,32.073,,853.2241000000001,604.8451999999999,trawler
100700096,2023,,,UNKNOWN-CHN,fishing,0.586,,fishing,True,23.035,,23.035,230.846,,230.846,70.261,,70.261,,5788.329299999994,302.09510000000006,trawler
100700130,2023,,,UNKNOWN-CHN,drifting_longlines,0.545,,set_longlines,True,24.16,,24.16,209.575,,209.575,67.166,,67.166,,443.7608,222.9758,longliner
100700146,2023,,,UNKNOWN-CHN,set_gillnets,0.678,,set_gillnets,True,21.588,,21.588,282.255,,282.255,138.061,,138.061,,506.0918999999999,157.91580000000002,longliner
100700265,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,23.856,,23.856,100.025,,100.025,68.51,,68.51,,1064.1428,369.73210000000006,trawler
100700274,2023,,,UNKNOWN-CHN,fishing,0.511,,fishing,True,20.003,,20.003,204.411,,204.411,63.91,,63.91,,1050.6508,299.2345,trawler
100700340,2023,,,UNKNOWN-CHN,drifting_longlines,0.856,,set_longlines,True,27.158,,27.158,238.301,,238.301,56.771,,56.771,,511.0637999999997,239.5643,longliner
100700346,2023,,,UNKNOWN-CHN,trawlers,0.945,,trawlers,True,24.778,,24.778,382.807,,382.807,113.775,,113.775,,789.2384000000003,328.37030000000004,trawler
100700375,2023,,,UNKNOWN-CHN,trawlers,0.612,,trawlers,True,25.189,,25.189,420.103,,420.103,105.283,,105.283,,2159.4454000000005,1231.5795000000012,trawler
100700380,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,21.224,,21.224,354.772,,354.772,64.999,,64.999,,1630.1449999999998,1067.6501000000003,trawler
100700389,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,17.094,,17.094,178.807,,178.807,42.798,,42.798,,824.6569999999998,399.482,trawler
100700527,2023,,,UNKNOWN-CHN,trawlers,0.684,,trawlers,True,17.791,,17.791,176.885,,176.885,37.761,,37.761,,780.1001,219.3582,trawler
100700575,2023,,,UNKNOWN-CHN,trawlers,0.501,,trawlers,True,21.329,,21.329,273.308,,273.308,72.298,,72.298,,944.8979,747.3795,trawler
100700577,2023,,,UNKNOWN-CHN,trawlers,0.706,,trawlers,True,24.805,,24.805,578.763,,578.763,68.927,,68.927,,1829.9743,1070.9340000000002,trawler
100700599,2023,,,UNKNOWN-CHN,trawlers,0.577,,trawlers,True,28.249,,28.249,632.423,,632.423,204.311,,204.311,,1438.0099999999995,971.5669,trawler
100700612,2023,,,UNKNOWN-CHN,set_gillnets,0.751,,set_gillnets,True,23.281,,23.281,265.329,,265.329,56.621,,56.621,,536.4234999999998,220.8494,longliner
100700629,2023,,,UNKNOWN-CHN,fishing,1.0,,fishing,True,20.455,,20.455,209.474,,209.474,50.906,,50.906,,934.2092,645.2273999999999,trawler
100700643,2023,,,UNKNOWN-CHN,trawlers,0.652,,trawlers,True,27.772,,27.772,742.177,,742.177,146.804,,146.804,,1534.6854000000008,666.3308,trawler
100700646,2023,,,UNKNOWN-CHN,trawlers,0.636,,trawlers,True,24.205,,24.205,663.674,,663.674,60.697,,60.697,,1018.1493999999996,508.4791000000001,trawler
100700654,2023,,,UNKNOWN-CHN,trawlers,0.949,,trawlers,True,31.52,,31.52,650.514,,650.514,161.815,,161.815,,2670.9855999999995,1868.8161,trawler
100700667,2023,,,UNKNOWN-CHN,fishing,0.751,,fishing,True,22.016,,22.016,212.199,,212.199,46.534,,46.534,,614.5434,279.1269,trawler
100700702,2023,,,UNKNOWN-CHN,trawlers,0.675,,trawlers,True,25.7,,25.7,406.576,,406.576,114.937,,114.937,,1718.1528999999998,1332.073400000001,trawler
100700711,2023,,,UNKNOWN-CHN,trawlers,0.598,,trawlers,False,24.158,,24.158,186.131,,186.131,101.857,,101.857,,1324.3531,952.7182,trawler
100700715,2023,,,UNKNOWN-CHN,fishing,0.611,,fishing,True,21.361,,21.361,203.793,,203.793,55.677,,55.677,,1177.9786,176.01619999999994,trawler
100700735,2023,,,UNKNOWN-CHN,trawlers,0.528,,trawlers,False,26.84,,26.84,385.828,,385.828,120.781,,120.781,,2119.5597000000007,559.8736999999999,trawler
100700748,2023,,,UNKNOWN-CHN,trawlers,0.909,,trawlers,True,20.044,,20.044,324.639,,324.639,53.741,,53.741,,1297.6292,934.8533,trawler
100700762,2023,,,UNKNOWN-CHN,set_gillnets,0.673,,set_gillnets,True,23.804,,23.804,313.245,,313.245,143.701,,143.701,,1915.5487,700.3345,longliner
100700767,2023,,,UNKNOWN-CHN,fixed_gear,0.559,,fixed_gear,True,27.76,,27.76,397.371,,397.371,192.523,,192.523,,1271.4781999999996,477.3214000000001,longliner
100701001,2023,,,UNKNOWN-CHN,set_longlines,0.923,,set_longlines,True,14.542,,14.542,92.002,,92.002,21.153,,21.153,,799.6598999999997,239.141,longliner
100701142,2023,,,UNKNOWN-CHN,fishing,0.513,,fishing,True,31.902,,31.902,518.539,,518.539,226.252,,226.252,,3323.2508000000007,1305.673,trawler
100701226,2023,,,UNKNOWN-CHN,trawlers,0.986,,trawlers,True,16.02,,16.02,209.012,,209.012,31.118,,31.118,,1484.6648999999993,803.7216999999997,trawler
100701449,2023,,,UNKNOWN-CHN,trawlers,0.831,,trawlers,True,21.304,,21.304,432.784,,432.784,87.805,,87.805,,2295.5229999999992,2140.9059999999995,trawler
100701518,2023,,,UNKNOWN-CHN,set_gillnets,0.939,,set_gillnets,True,14.259,,14.259,100.742,,100.742,27.26,,27.26,,2261.615599999999,913.8158,longliner
100701530,2023,,,UNKNOWN-CHN,set_gillnets,0.798,,set_gillnets,True,14.429,,14.429,146.138,,146.138,24.12,,24.12,,925.5133000000002,294.4787,longliner
100701567,2023,,,UNKNOWN-CHN,trawlers,0.654,,trawlers,True,19.35,,19.35,263.126,,263.126,65.514,,65.514,,1116.346,477.23730000000006,trawler
100701580,2023,,,UNKNOWN-CHN,fishing,0.711,,fishing,True,26.677,,26.677,394.138,,394.138,121.351,,121.351,,833.8805,381.475,trawler
100701678,2023,,,UNKNOWN-CHN,trawlers,0.882,,trawlers,True,19.377,,19.377,389.701,,389.701,75.584,,75.584,,909.2627999999999,763.9858,trawler
100701940,2023,,,UNKNOWN-CHN,fishing,0.638,,fishing,True,29.159,,29.159,646.249,,646.249,117.187,,117.187,,909.2681999999996,120.5703,trawler
100702064,2023,,,UNKNOWN-CHN,set_gillnets,0.503,,set_gillnets,True,24.752,,24.752,540.565,,540.565,132.637,,132.637,,1607.8273999999992,147.01180000000002,longliner
100702534,2023,,,UNKNOWN-CHN,fixed_gear,0.507,,fixed_gear,True,25.987,,25.987,439.217,,439.217,205.032,,205.032,,3203.2052,1310.2114999999994,longliner
100702562,2023,,,UNKNOWN-CHN,fishing,0.986,,fishing,True,21.697,,21.697,327.895,,327.895,90.866,,90.866,,350.7615,192.2115,trawler
100702591,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,15.9,,15.9,143.026,,143.026,33.831,,33.831,,517.339,280.4397000000001,trawler
100702635,2023,,,UNKNOWN-CHN,trawlers,0.623,,trawlers,True,24.482,,24.482,215.815,,215.815,97.334,,97.334,,1150.9247999999998,673.6344999999999,trawler
100702667,2023,,,UNKNOWN-CHN,trawlers,0.837,,trawlers,True,22.365,,22.365,274.267,,274.267,85.925,,85.925,,1075.7724000000003,753.3640000000001,trawler
100702760,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,20.082,,20.082,357.544,,357.544,50.209,,50.209,,1237.3953,1020.1735,trawler
100702808,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,20.364,,20.364,193.337,,193.337,62.787,,62.787,,341.7784000000001,248.6205,trawler
100702851,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,24.707,,24.707,142.771,,142.771,65.033,,65.033,,852.9496,533.8013,trawler
100702880,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,22.643,,22.643,155.609,,155.609,50.111,,50.111,,537.0184,254.0326,trawler
100702921,2023,,,UNKNOWN-CHN,set_gillnets,1.0,,set_gillnets,True,12.888,,12.888,131.727,,131.727,15.712,,15.712,,874.4212000000001,321.68609999999995,longliner
100702945,2023,,,UNKNOWN-CHN,set_longlines,0.5,,set_longlines,True,14.668,,14.668,118.499,,118.499,20.809,,20.809,,820.5549999999998,265.04960000000005,longliner
100702946,2023,,,UNKNOWN-CHN,trawlers,0.578,,trawlers,True,30.828,,30.828,418.593,,418.593,247.053,,247.053,,3533.0992,2814.0199,trawler
100703051,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,20.168,,20.168,317.434,,317.434,99.126,,99.126,,2004.3604,1852.8505000000005,trawler
100703097,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,27.483,,27.483,280.153,,280.153,233.463,,233.463,,1500.2413,1259.8045999999997,trawler
100703107,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,23.426,,23.426,228.388,,228.388,175.884,,175.884,,1117.1794000000002,967.6290000000001,trawler
100703108,2023,,,UNKNOWN-CHN,other_purse_seines,0.5,,other_purse_seines,True,21.07,,21.07,213.346,,213.346,66.361,,66.361,,1188.7172999999996,204.87679999999995,purse_seiner
100703138,2023,,,UNKNOWN-CHN,trawlers,0.737,,trawlers,True,26.641,,26.641,354.337,,354.337,131.036,,131.036,,1144.8108999999995,382.6629,trawler
100703301,2023,,,UNKNOWN-CHN,fishing,0.685,,fishing,True,33.323,,33.323,587.918,,587.918,294.043,,294.043,,2228.0963000000006,883.3904999999999,trawler
100703302,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,27.005,,27.005,52.899,,52.899,74.542,,74.542,,345.627,161.1756,trawler
100703318,2023,,,UNKNOWN-CHN,trawlers,0.857,,trawlers,True,22.369,,22.369,256.769,,256.769,98.818,,98.818,,253.2758,214.2658,trawler
100703366,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,24.559,,24.559,163.42,,163.42,151.089,,151.089,,1537.4310999999996,810.4671000000006,trawler
100703426,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,23.476,,23.476,271.994,,271.994,124.577,,124.577,,638.0796,603.2728,trawler
100703679,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,16.105,,16.105,170.712,,170.712,28.581,,28.581,,490.2863000000001,27.9984,trawler
100704016,2023,,,UNKNOWN-CHN,fishing,0.797,,fishing,True,29.283,,29.283,489.476,,489.476,102.772,,102.772,,1245.5025000000005,409.046,trawler
100704495,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,25.976,,25.976,334.725,,334.725,246.776,,246.776,,1148.8650999999998,1059.6101,trawler
100705049,2023,,,UNKNOWN-CHN,dredge_fishing,0.777,,dredge_fishing,True,12.905,,12.905,136.617,,136.617,12.332,,12.332,,764.0154999999996,386.0114000000001,other
100705153,2023,,,UNKNOWN-CHN,set_longlines,0.847,,set_longlines,True,17.839,,17.839,254.179,,254.179,34.612,,34.612,,427.2173,239.5451,longliner
100705180,2023,,,UNKNOWN-CHN,fishing,0.646,,fishing,True,17.426,,17.426,180.692,,180.692,30.706,,30.706,,2186.046899999999,254.5041,trawler
100705193,2023,,,UNKNOWN-CHN,trawlers,0.933,,trawlers,True,13.357,,13.357,149.284,,149.284,16.513,,16.513,,413.7346999999999,190.90660000000003,trawler
100705332,2023,,,UNKNOWN-CHN,set_longlines,0.797,,set_longlines,True,18.228,,18.228,231.071,,231.071,31.829,,31.829,,393.6299000000001,197.7234,longliner
100705553,2023,,,UNKNOWN-CHN,trawlers,0.699,,trawlers,True,18.281,,18.281,154.363,,154.363,47.921,,47.921,,831.1570999999999,443.21870000000007,trawler
100705667,2023,,,UNKNOWN-CHN,trawlers,0.597,,trawlers,True,12.947,,12.947,155.781,,155.781,16.742,,16.742,,801.9667,590.0727,trawler
100705859,2023,,,UNKNOWN-CHN,trawlers,0.998,,trawlers,True,21.852,,21.852,260.656,,260.656,60.277,,60.277,,1211.1840000000002,643.5394,trawler
100705876,2023,,,UNKNOWN-CHN,trawlers,0.969,,trawlers,True,13.538,,13.538,187.03,,187.03,23.31,,23.31,,805.0389,530.9345000000001,trawler
100706014,2023,,,UNKNOWN-CHN,set_longlines,0.998,,set_longlines,True,15.156,,15.156,121.303,,121.303,20.529,,20.529,,1027.2488999999998,350.05159999999995,longliner
100706118,2023,,,UNKNOWN-CHN,trawlers,0.995,,trawlers,True,22.986,,22.986,225.265,,225.265,111.85,,111.85,,4222.849900000002,3608.7581,trawler
100706147,2023,,,UNKNOWN-CHN,set_longlines,0.656,,set_longlines,True,16.198,,16.198,153.04,,153.04,28.734,,28.734,,697.6023000000001,284.46270000000004,longliner
100706171,2023,,,UNKNOWN-CHN,dredge_fishing,0.512,,dredge_fishing,True,12.328,,12.328,116.606,,116.606,16.055,,16.055,,701.0422000000001,333.4246,other
100706312,2023,,,UNKNOWN-CHN,trawlers,0.929,,trawlers,True,16.039,,16.039,178.73,,178.73,33.069,,33.069,,700.8232,512.6437,trawler
100706324,2023,,,UNKNOWN-CHN,trawlers,1.0,,trawlers,True,14.952,,14.952,200.221,,200.221,26.252,,26.252,,312.78860000000003,52.4133,trawler
100723568,2023,,,UNKNOWN-CHN,fishing,0.723,,fishing,True,23.013,,23.013,247.947,,247.947,89.885,,89.885,,299.9888,120.0522,trawler
100767678,2023,,,UNKNOWN,fishing,0.565,,fishing,True,38.062,,38.062,560.061,,560.061,504.974,,504.974,,1571.3790999999994,602.4787000000001,trawler
10079,2023,,,UNKNOWN-CHN,fishing,0.63,,fishing,True,18.203,,18.203,303.765,,303.765,47.251,,47.251,,546.3874,78.8959,trawler
100800276,2023,,,UNKNOWN-CHN,fishing,0.845,,fishing,True,23.93,,23.93,329.945,,329.945,103.179,,103.179,,1694.9535999999987,577.4021000000004,trawler
